domain	kingdom	phylum	class	n_genomes	protein:RNR I:NrdA:n_proteins	protein:RNR I:NrdA:n_genomes_w_protein	protein:RNR I:NrdB:n_proteins	protein:RNR I:NrdB:n_genomes_w_protein	protein:RNR III:NrdD:n_proteins	protein:RNR III:NrdD:n_genomes_w_protein	protein:RNR III:NrdG:n_proteins	protein:RNR III:NrdG:n_genomes_w_protein	protein:RNR II:NrdJ:n_proteins	protein:RNR II:NrdJ:n_genomes_w_protein
Archaea	unspecified kingdom	Crenarchaeota	Thermoprotei	3	0	0	0	0	4	2	0	0	4	2
Archaea	unspecified kingdom	Euryarchaeota	Halobacteria	3	6	3	6	3	2	1	0	0	6	3
Archaea	unspecified kingdom	Euryarchaeota	Methanococci	1	0	0	0	0	2	1	0	0	0	0
Archaea	unspecified kingdom	Euryarchaeota	Thermococci	1	0	0	0	0	2	1	0	0	0	0
Archaea	unspecified kingdom	Korarchaeota	unspecified class	1	0	0	0	0	2	1	0	0	2	1
Archaea	unspecified kingdom	Thaumarchaeota	unspecified class	1	0	0	0	0	0	0	0	0	0	0
Archaea	unspecified kingdom	unspecified phylum	unspecified class	1	2	1	2	1	0	0	0	0	2	1
Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	3	0	0	0	0	4	2	0	0	4	2
Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	3	4	2	4	2	0	0	0	0	0	0
Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	3	6	2	6	2	0	0	0	0	0	0
Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	Sphingobacteriia	2	6	2	6	2	2	1	0	0	2	1
Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	unspecified class	1	2	1	2	1	0	0	0	0	4	1
Bacteria	delta/epsilon subdivisions	Proteobacteria	Deltaproteobacteria	1	2	1	2	1	0	0	0	0	0	0
Bacteria	delta/epsilon subdivisions	Proteobacteria	Epsilonproteobacteria	5	6	3	6	3	4	2	0	0	2	1
Bacteria	unspecified kingdom	Actinobacteria	Actinobacteria	7	10	5	8	4	10	4	0	0	2	1
Bacteria	unspecified kingdom	Aquificae	Aquificae	4	4	2	4	2	6	2	0	0	0	0
Bacteria	unspecified kingdom	Chloroflexi	Chloroflexi	1	0	0	0	0	0	0	0	0	2	1
Bacteria	unspecified kingdom	Firmicutes	Bacilli	2	2	1	2	1	2	1	4	1	0	0
Bacteria	unspecified kingdom	Firmicutes	Clostridia	6	8	4	8	4	8	4	0	0	0	0
Bacteria	unspecified kingdom	Firmicutes	Erysipelotrichi	1	0	0	0	0	2	1	0	0	0	0
Bacteria	unspecified kingdom	Firmicutes	Negativicutes	2	0	0	0	0	4	2	0	0	0	0
Bacteria	unspecified kingdom	Fusobacteria	Fusobacteriia	1	2	1	2	1	2	1	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	Alphaproteobacteria	5	10	4	10	4	0	0	2	1	0	0
Bacteria	unspecified kingdom	Proteobacteria	Betaproteobacteria	5	8	4	8	4	4	2	2	1	2	1
Bacteria	unspecified kingdom	Proteobacteria	Gammaproteobacteria	18	58	18	58	17	24	12	2	1	6	3
Bacteria	unspecified kingdom	Spirochaetes	Spirochaetia	1	0	0	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Thermotogae	Thermotogae	8	0	0	0	0	20	8	0	0	18	8
Bacteria	unspecified kingdom	unspecified phylum	unspecified class	1	0	0	0	0	0	0	0	0	0	0
Eukaryota	Fungi	Ascomycota	Eurotiomycetes	1	2	1	2	1	0	0	0	0	0	0
Eukaryota	Fungi	Basidiomycota	Tremellomycetes	2	2	1	2	1	0	0	0	0	0	0
Eukaryota	Fungi	Microsporidia	unspecified class	2	2	1	2	1	0	0	0	0	0	0
Eukaryota	Metazoa	Arthropoda	Insecta	1	2	1	2	1	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Amphibia	1	6	1	2	1	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Ascidiacea	1	2	1	2	1	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Aves	1	2	1	2	1	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Mammalia	5	10	5	34	5	0	0	0	0	0	0
Eukaryota	Viridiplantae	Streptophyta	Bryopsida	1	2	1	4	1	0	0	0	0	0	0
Eukaryota	Viridiplantae	Streptophyta	Isoetopsida	1	2	1	4	1	0	0	0	0	0	0
Eukaryota	Viridiplantae	Streptophyta	unspecified class	1	2	1	4	1	0	0	0	0	0	0
Viruses	dsDNA viruses, no RNA stage	unspecified phylum	unspecified class	5	8	4	8	4	8	4	0	0	0	0
